number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.6921363219728089,2025-12-07 17:45:03.102426,2025-12-07 17:45:19.693344,0 days 00:00:16.590918,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.6674702249617543,2025-12-07 17:45:19.694804,2025-12-07 17:45:43.904793,0 days 00:00:24.209989,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.69508960703185,2025-12-07 17:45:43.906122,2025-12-07 17:46:02.675630,0 days 00:00:18.769508,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.6881553432610167,2025-12-07 17:46:02.677100,2025-12-07 17:46:26.200092,0 days 00:00:23.522992,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 17:46:26.201394,2025-12-07 17:46:50.598498,0 days 00:00:24.397104,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.6367032225691648,2025-12-07 17:46:50.599863,2025-12-07 17:47:13.654575,0 days 00:00:23.054712,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,PRUNED
6,0.6911749981200526,2025-12-07 17:47:13.655770,2025-12-07 17:47:29.644853,0 days 00:00:15.989083,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.5421512655302722,2025-12-07 17:47:29.646185,2025-12-07 17:47:41.148871,0 days 00:00:11.502686,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.6713440271591055,2025-12-07 17:47:41.150022,2025-12-07 17:48:07.597594,0 days 00:00:26.447572,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.48964467281080937,2025-12-07 17:48:07.599258,2025-12-07 17:48:24.353865,0 days 00:00:16.754607,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
