number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.9602390225016967,2025-12-07 18:01:01.953637,2025-12-07 18:01:30.239589,0 days 00:00:28.285952,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.9298199889465685,2025-12-07 18:01:30.241021,2025-12-07 18:02:23.282035,0 days 00:00:53.041014,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.9773528706243808,2025-12-07 18:02:23.283429,2025-12-07 18:02:59.081662,0 days 00:00:35.798233,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.9723868354100377,2025-12-07 18:02:59.083143,2025-12-07 18:03:39.898389,0 days 00:00:40.815246,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.8442352826513879,2025-12-07 18:03:39.899802,2025-12-07 18:04:39.705958,0 days 00:00:59.806156,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.8881072778185575,2025-12-07 18:04:39.707314,2025-12-07 18:05:07.273164,0 days 00:00:27.565850,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,PRUNED
6,0.9690746619140153,2025-12-07 18:05:07.274438,2025-12-07 18:05:48.228334,0 days 00:00:40.953896,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.6894434929179241,2025-12-07 18:05:48.229719,2025-12-07 18:06:16.116405,0 days 00:00:27.886686,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.9823523908101564,2025-12-07 18:06:16.117621,2025-12-07 18:06:56.803015,0 days 00:00:40.685394,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.9610947992279042,2025-12-07 18:06:56.804585,2025-12-07 18:07:38.815264,0 days 00:00:42.010679,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
