metric,mean,std
train_acc,100.0,0.0
test_acc,91.7830252383137,13.278393864795262
train_bal_acc,100.0,0.0
test_bal_acc,90.0953705430392,14.71900138537995
train_f1_acc,100.0,0.0
test_f1_acc,91.42887876424372,13.894196242440717
train_loss,0.00021256302230898683,6.017967199466158e-05
test_loss,0.41592436889900886,0.9008986244167496
