number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.8084753856503079,2025-12-08 00:09:47.952630,2025-12-08 00:10:10.651979,0 days 00:00:22.699349,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.8448774505258722,2025-12-08 00:10:10.653748,2025-12-08 00:10:47.858484,0 days 00:00:37.204736,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.8256307666603112,2025-12-08 00:10:47.860027,2025-12-08 00:11:15.754640,0 days 00:00:27.894613,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.8140358083645393,2025-12-08 00:11:15.756286,2025-12-08 00:11:58.700889,0 days 00:00:42.944603,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.7721025237267983,2025-12-08 00:11:58.702258,2025-12-08 00:12:31.987426,0 days 00:00:33.285168,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.8393590018039695,2025-12-08 00:12:31.988958,2025-12-08 00:13:06.692521,0 days 00:00:34.703563,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.7979799821145422,2025-12-08 00:13:06.693972,2025-12-08 00:13:28.670831,0 days 00:00:21.976859,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.906844194328902,2025-12-08 00:13:28.672178,2025-12-08 00:13:45.644535,0 days 00:00:16.972357,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.8366139483165362,2025-12-08 00:13:45.645728,2025-12-08 00:14:19.348668,0 days 00:00:33.702940,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.8201365247010703,2025-12-08 00:14:19.350271,2025-12-08 00:14:55.228306,0 days 00:00:35.878035,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,COMPLETE
