number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.6618822406862178,2025-12-07 19:25:46.142122,2025-12-07 19:26:17.107881,0 days 00:00:30.965759,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.7716611936637636,2025-12-07 19:26:17.109665,2025-12-07 19:27:03.261302,0 days 00:00:46.151637,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.7384627454411797,2025-12-07 19:27:03.262906,2025-12-07 19:27:52.029000,0 days 00:00:48.766094,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.7939898002118385,2025-12-07 19:27:52.030343,2025-12-07 19:28:44.640640,0 days 00:00:52.610297,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.7109076836831777,2025-12-07 19:28:44.642121,2025-12-07 19:29:26.218905,0 days 00:00:41.576784,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.5478076660929901,2025-12-07 19:29:26.220237,2025-12-07 19:30:20.669222,0 days 00:00:54.448985,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.8122338703951862,2025-12-07 19:30:20.670742,2025-12-07 19:31:14.327383,0 days 00:00:53.656641,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.7511567843840905,2025-12-07 19:31:14.328942,2025-12-07 19:31:46.019310,0 days 00:00:31.690368,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.7096294483864829,2025-12-07 19:31:46.020564,2025-12-07 19:32:17.110871,0 days 00:00:31.090307,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.6756327651360683,2025-12-07 19:32:17.112091,2025-12-07 19:32:48.444225,0 days 00:00:31.332134,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
