fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.002733309578730654,0.9994501264709117,0.5986349460552447,0.8594249201277955,0.999416200400292,0.835425282602702,0.9994501210361938,0.8588227467835982
2,Sub19,Sub11_Sub22,0.001201891061068668,0.999890158172232,0.40665614324389027,0.9280936454849499,0.9998564455928797,0.9419686800894854,0.9998901524723584,0.9294781034210705
3,Sub04,Sub15_Sub00,0.0003536789117147941,1.0,1.0530563752634408,0.8098360655737705,1.0,0.7614313963520313,1.0,0.7922281960538631
4,Sub15,Sub07_Sub21,0.021468254969572532,0.9928704617747066,0.03329727832934566,0.9900990099009901,0.9929317523914944,0.9890342631047256,0.9928702720919349,0.9900922846049552
5,Sub07,Sub18_Sub15,0.0009830717335844257,0.9998903268260584,0.15838071771874002,0.9534109816971714,0.9998553240740741,0.9392207792207792,0.9998903210168054,0.9525344649871745
6,Sub11,Sub04_Sub09,0.0003301651023324231,1.0,0.1639961134497753,0.9569377990430622,1.0,0.9473393989523022,1.0,0.9566780745567072
7,Sub23,Sub17_Sub03,0.0006792626329522639,0.9998900373872883,1.6593992650945437,0.7227722772277227,0.9998553868402024,0.6315789473684211,0.9998900315979027,0.6606482745801994
8,Sub09,Sub02_Sub20,0.0003404718414598252,1.0,0.22168178447867887,0.9570247933884297,1.0,0.9462123352165724,1.0,0.9569239957618257
9,Sub17,Sub03_Sub19,0.00016055086080468372,1.0,0.35544180917622725,0.9353233830845771,1.0,0.9294296504774963,1.0,0.9355058533212312
10,Sub22,Sub18_Sub14,0.0007674350935513547,1.0,0.08638776474008694,0.9816666666666667,1.0,0.9788025806812378,1.0,0.9815979044149119
11,Sub01,Sub02_Sub22,0.0003291534415763311,1.0,1.2649853004867964,0.8336192109777015,1.0,0.7935547330969075,1.0,0.819301791211321
12,Sub18,Sub03_Sub20,0.00039104074329143133,1.0,0.09842006964936445,0.9884105960264901,1.0,0.9900211939244082,1.0,0.9884052365507411
13,Sub02,Sub03_Sub17,0.00019916509937673992,1.0,2.919562891451642,0.6710963455149501,1.0,0.5687134502923977,1.0,0.6303941324909682
14,Sub21,Sub18_Sub09,0.0005138075645076102,0.9998902907295667,0.28374025554213633,0.943801652892562,0.9999258600237247,0.9287455197132616,0.9998902965820113,0.9425190315604145
15,Sub24,Sub02_Sub01,0.0002624628748610401,1.0,0.022644081692078544,0.9967213114754099,1.0,0.9967105263157895,1.0,0.9967213114754099
16,Sub14,Sub11_Sub17,0.0004403301385750765,1.0,0.12059564481023699,0.9661016949152542,1.0,0.9695019157088124,1.0,0.9661878918116826
17,Sub00,Sub03_Sub14,0.0007066310248530857,0.9997798811358133,4.464384841918945,0.3444976076555024,0.9997808564915328,0.33562236593907246,0.9997798811358133,0.35388447217661695
18,Sub03,Sub04_Sub20,0.0004986819564858796,1.0,0.6865791052579879,0.8785942492012779,1.0,0.8538870851370852,1.0,0.8750397098831754
