number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.9635302720165563,2025-12-07 17:33:44.023282,2025-12-07 17:34:06.164940,0 days 00:00:22.141658,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.9436791962694638,2025-12-07 17:34:06.169369,2025-12-07 17:34:43.072202,0 days 00:00:36.902833,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.9470003959142513,2025-12-07 17:34:43.073545,2025-12-07 17:35:05.752690,0 days 00:00:22.679145,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.9415048606471257,2025-12-07 17:35:05.753973,2025-12-07 17:35:34.616045,0 days 00:00:28.862072,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.8220438057483964,2025-12-07 17:35:34.617374,2025-12-07 17:36:10.024726,0 days 00:00:35.407352,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.942013973846614,2025-12-07 17:36:10.026282,2025-12-07 17:36:31.220820,0 days 00:00:21.194538,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,PRUNED
6,0.9679718243725102,2025-12-07 17:36:31.222224,2025-12-07 17:36:55.931187,0 days 00:00:24.708963,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.7421798113258843,2025-12-07 17:36:55.932940,2025-12-07 17:37:16.942334,0 days 00:00:21.009394,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.9784593060223917,2025-12-07 17:37:16.943777,2025-12-07 17:37:46.639928,0 days 00:00:29.696151,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.705233395862219,2025-12-07 17:37:46.641322,2025-12-07 17:38:10.554978,0 days 00:00:23.913656,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
