number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.8857224570881345,2025-12-08 01:35:43.579149,2025-12-08 01:36:14.025860,0 days 00:00:30.446711,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.9530746969623589,2025-12-08 01:36:14.027314,2025-12-08 01:37:05.792446,0 days 00:00:51.765132,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.961389136297787,2025-12-08 01:37:05.794088,2025-12-08 01:37:45.103496,0 days 00:00:39.309408,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.9448561994668451,2025-12-08 01:37:45.104995,2025-12-08 01:38:27.472347,0 days 00:00:42.367352,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.6002556488597676,2025-12-08 01:38:27.473836,2025-12-08 01:39:10.203130,0 days 00:00:42.729294,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.9382085609300149,2025-12-08 01:39:10.204836,2025-12-08 01:40:01.517674,0 days 00:00:51.312838,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.942033004377022,2025-12-08 01:40:01.519405,2025-12-08 01:40:37.784152,0 days 00:00:36.264747,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.8284438463420603,2025-12-08 01:40:37.785417,2025-12-08 01:41:03.880755,0 days 00:00:26.095338,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.9395359269227632,2025-12-08 01:41:03.882450,2025-12-08 01:41:32.257911,0 days 00:00:28.375461,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.7005464480874317,2025-12-08 01:41:32.259174,2025-12-08 01:42:01.832627,0 days 00:00:29.573453,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
